,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
126291,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial1,0.13942174126846
126292,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial2,-0.176909730410425
126293,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial3,-0.173710521703067
126294,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial4,0.25794514228724
126295,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial5,-0.108147383996393
126296,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial6,0.0481043502673497
126297,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial7,-0.0220046679999171
126298,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial8,-0.0112691497960071
126299,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial9,-0.155659125625979
126300,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial10,-0.496819210117719
126301,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial11,-0.34988647982911
126302,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial12,-0.243719517402887
126303,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial13,-0.240205861727641
126304,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial14,-0.266029240455986
126305,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial15,-0.544839981660447
126306,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial16,0.0553794110728152
126307,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial17,-0.087475410159636
126308,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial18,-0.262331158070076
126309,VXE_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run32,Trial19,-0.152700173418697
