,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
164087,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial1,0.0959274355060735
164088,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial2,-0.122079702605346
164089,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial3,-0.0701387546516763
164090,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial4,0.0563964153819949
164091,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial5,-0.164914429426832
164092,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial6,0.0856097006205103
164093,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial7,-0.119674958486257
164094,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial8,-0.0680044164187761
164095,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial9,0.0318530118474163
164096,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial10,-0.181087447241301
164097,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial11,-0.122079702605346
164098,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial12,-0.186661519402261
164099,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial13,-0.021832954580304
164100,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial14,0.0689325868358965
164101,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial15,-0.189426579304239
164102,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial16,-0.236712234136943
164103,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial17,-0.209511234438293
164104,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial18,0.0483846189876669
164105,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial19,0.0129562582017653
164106,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial20,-0.167583995191523
164107,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial21,-0.322853426138058
164108,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial22,-0.144242455590076
164109,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial23,0.0841347115113771
164110,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial24,0.0233708265113766
164111,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial25,-0.172905427467832
164112,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial26,-0.0787391393083161
164113,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial27,-0.139221509097732
164114,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial28,0.0233708265113766
164115,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial29,-0.0124023564485114
164116,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial30,-0.162287493898874
164117,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial31,-0.162287493898874
164118,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial32,-0.12446164557019
164119,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial33,0.0467529838900447
164120,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial34,0.0250754391454078
164121,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial35,-0.192223456396774
164122,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial36,-0.388576519806657
164123,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial37,-0.070106821625211
164124,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial38,-0.0275661084819125
164125,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial39,-0.0334053030238919
164126,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial40,-0.420693023474801
164127,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial41,-0.255873984014523
164128,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial42,-0.139221509097732
164129,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial43,-0.0050099314644263
164130,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial44,-0.195066846656931
164131,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial45,-0.29697290715808
164132,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial46,-0.388510044465538
164133,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial47,-0.286354104539637
164134,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial48,-0.0199133128258921
164135,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial49,0.0318530118474163
164136,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial50,-0.103307962725272
164137,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial51,-0.346334521987581
164138,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial52,-0.30789467286685
164139,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial53,0.0401974710152277
164140,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial54,-0.129350474620177
164141,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial55,-0.0942122197648803
164142,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial56,-0.136745046324852
164143,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial57,-0.338365592316305
164144,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial58,0.101677184393035
164145,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial59,0.00224975474790856
164146,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial60,-0.162248013180503
164147,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial61,-0.122079702605346
164148,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial62,-0.164914429426832
164149,VXE_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run15,Trial63,0.107387171145088
