,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,164637,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial1,0.0257426306740789,False
1,1,1,1,1,1,1,1,164638,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial2,-0.1820049259084719,False
2,2,2,2,2,2,2,2,164639,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial3,-0.138012865450523,False
3,3,3,3,3,3,3,3,164640,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial4,-0.0297428855406157,False
4,4,4,4,4,4,4,4,164641,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial5,-0.193743725809083,False
5,5,5,5,5,5,5,5,164642,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial6,-0.148513080404202,False
6,6,6,6,6,6,6,6,164643,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial7,-0.170504589185056,False
7,7,7,7,7,7,7,7,164644,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial8,-0.0909099798371291,False
8,8,8,8,8,8,8,8,164645,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial9,-0.0399974942368782,False
9,9,9,9,9,9,9,9,164646,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial10,-0.162237383492861,False
10,10,10,10,10,10,10,10,164647,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial11,-0.289877287297299,True
11,11,11,11,11,11,11,11,164648,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial12,-0.2309607051596789,False
12,12,12,12,12,12,12,12,164649,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial13,0.0036083613978528,False
13,13,13,13,13,13,13,13,164650,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial14,-0.0505749735502419,False
14,14,14,14,14,14,14,14,164651,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial15,-0.13018215486737,False
15,15,15,15,15,15,15,15,164652,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial16,-0.278918558172933,True
16,16,16,16,16,16,16,16,164653,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial17,-0.173347701619177,False
17,17,17,17,17,17,17,17,164654,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial18,0.0381089179953054,False
18,18,18,18,18,18,18,18,164655,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial19,-0.0296715217598162,False
19,19,19,19,19,19,19,19,164656,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial20,-0.148513080404202,False
20,20,20,20,20,20,20,20,164657,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial21,-0.271686281115893,False
21,21,21,21,21,21,21,21,164658,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial22,-0.145907425957136,False
22,22,22,22,22,22,22,22,164659,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial23,-0.0195853729326614,False
23,23,23,23,23,23,23,23,164660,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial24,-0.0956662178770764,False
24,24,24,24,24,24,24,24,164661,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial25,-0.1820049259084719,False
25,25,25,25,25,25,25,25,164662,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial26,-0.3493963890449749,True
26,26,26,26,26,26,26,26,164663,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial27,-0.135300227814405,False
27,27,27,27,27,27,27,27,164664,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run26,Trial28,0.0328533988632365,False
