,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,164776,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial1,0.160451971847375,False
1,1,1,1,164777,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial2,-0.0862168780207475,False
2,2,2,2,164778,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial3,-0.0909099798371291,False
3,3,3,3,164779,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial4,-0.0570299983949165,False
4,4,4,4,164780,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial5,-0.230960705159679,False
5,5,5,5,164781,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial6,-0.117582381732632,False
6,6,6,6,164782,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial7,-0.100403133370958,False
7,7,7,7,164783,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial8,0.0148118920315179,False
8,8,8,8,164784,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial9,-0.0570951441959693,False
9,9,9,9,164785,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial10,-0.138012865450523,False
10,10,10,10,164786,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial11,-0.184939162949731,False
11,11,11,11,164787,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial12,-0.20570162119254,False
12,12,12,12,164788,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial13,0.0602112949378855,False
13,13,13,13,164789,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial14,-0.110182057351333,False
14,14,14,14,164790,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial15,-0.454910298665971,True
15,15,15,15,164791,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial16,-0.105265072177536,False
16,16,16,16,164792,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial17,-0.408594118293639,True
17,17,17,17,164793,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial18,0.0148118920315179,False
18,18,18,18,164794,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial19,-0.0570951441959693,False
19,19,19,19,164795,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial20,-0.182004925908472,False
20,20,20,20,164796,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial21,-0.159452109148124,False
21,21,21,21,164797,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial22,-0.208800997899119,False
22,22,22,22,164798,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial23,0.0017632564084952,False
23,23,23,23,164799,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial24,-0.0039444451942833,False
24,24,24,24,164800,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial25,-0.312797856845008,True
25,25,25,25,164801,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial26,-0.250905669174104,False
26,26,26,26,164802,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial27,-0.545168351597287,True
27,27,27,27,164803,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial28,-0.0657924013328244,False
28,28,28,28,164804,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial29,-0.12503480614196,False
29,29,29,29,164805,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial30,-0.538471975488558,True
30,30,30,30,164806,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial31,0.0844137390424589,False
31,31,31,31,164807,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial32,-0.224590702638351,False
32,32,32,32,164808,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial33,-0.112581378512668,False
33,33,33,33,164809,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial34,-0.135391243528802,False
34,34,34,34,164810,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial35,-0.286162897876336,True
35,35,35,35,164811,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial36,-0.0592177200458628,False
36,36,36,36,164812,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial37,-0.389505373064645,True
37,37,37,37,164813,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial38,-0.0256533483136518,False
38,38,38,38,164814,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial39,-0.162140564709571,False
39,39,39,39,164815,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial40,-0.324657952753193,True
40,40,40,40,164816,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial41,0.0859396538902226,False
41,41,41,41,164817,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial42,-0.1967436583816,False
42,42,42,42,164818,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial43,-0.0725356505304928,False
43,43,43,43,164819,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial44,-0.202730485918804,False
44,44,44,44,164820,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial45,-0.156698241193609,False
45,45,45,45,164821,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial46,-0.159452109148124,False
46,46,46,46,164822,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial47,-0.159369650779742,False
47,47,47,47,164823,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial48,-0.120023053429091,False
48,48,48,48,164824,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial49,-0.184939162949731,False
49,49,49,49,164825,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial50,-0.140650408972286,False
50,50,50,50,164826,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial51,-0.394246677537995,True
51,51,51,51,164827,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial52,-0.384838366145706,True
52,52,52,52,164828,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial53,-0.0078336899059801,False
53,53,53,53,164829,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial54,-0.140571443946116,False
54,54,54,54,164830,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial55,-0.0636375280432695,False
55,55,55,55,164831,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial56,-0.328718225163779,True
56,56,56,56,164832,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial57,-0.143237860192445,False
57,57,57,57,164833,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial58,-0.0001563853459165,False
58,58,58,58,164834,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial59,-0.173347701619177,False
59,59,59,59,164835,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial60,-0.154029589399014,False
60,60,60,60,164836,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial61,-0.224494902384602,False
61,61,61,61,164837,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial62,-0.0570299983949165,False
62,62,62,62,164838,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial63,0.0467520083797952,False
63,63,63,63,164839,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial64,-0.148606908011343,False
64,64,64,64,164840,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial65,-0.196653807448849,False
65,65,65,65,164841,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial66,-0.173432857400215,False
66,66,66,66,164842,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial67,-0.221376991536553,False
67,67,67,67,164843,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial68,-0.0549072580477938,False
68,68,68,68,164844,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial69,-0.156698241193609,False
69,69,69,69,164845,VXE_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run28,Trial70,-0.179104760946974,False
