,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,41309,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial1,0.0195744730525025,False
1,1,1,1,41310,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial2,0.0524483016941137,False
2,2,2,2,41311,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial3,2.776526009729e-05,False
3,3,3,3,41312,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial4,-0.0219479755921088,False
4,4,4,4,41313,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial5,0.0382922653553797,False
5,5,5,5,41314,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial6,-0.093662008040492,False
6,6,6,6,41315,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial7,-0.0341317708525071,False
7,7,7,7,41316,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial8,-0.11177795607692,False
8,8,8,8,41317,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial9,-0.074614335433743,False
9,9,9,9,41318,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial10,-0.095447092624021,False
10,10,10,10,41319,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial11,-0.148382014201073,False
11,11,11,11,41320,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial12,-0.0662053110103757,False
12,12,12,12,41321,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial13,-0.100801745838078,False
13,13,13,13,41322,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial14,-0.0936885972272576,False
14,14,14,14,41323,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial15,-0.162699532237603,False
15,15,15,15,41324,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial16,-0.150417458422166,False
16,16,16,16,41325,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial17,-0.124891923762318,False
17,17,17,17,41326,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial18,-0.100837786126218,False
18,18,18,18,41327,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial19,-0.0936885972272576,False
19,19,19,19,41328,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial20,-0.162699532237603,False
20,20,20,20,41329,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial21,-0.0130238023704936,False
21,21,21,21,41330,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial22,0.120282308538178,False
22,22,22,22,41331,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial23,-0.150417458422166,False
23,23,23,23,41332,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial24,-0.519081594605483,True
24,24,24,24,41333,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial25,0.117031797729932,False
25,25,25,25,41334,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial26,-0.0547272296401893,False
26,26,26,26,41335,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial27,-0.0612254412418243,False
27,27,27,27,41336,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial28,-0.0563345569840816,False
28,28,28,28,41337,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial29,-0.0145132601088815,False
29,29,29,29,41338,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial30,-0.0612254412418243,False
30,30,30,30,41339,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial31,-0.0814194274744349,False
31,31,31,31,41340,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial32,-0.0883941375224402,False
32,32,32,32,41341,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial33,-0.109915413459863,False
33,33,33,33,41342,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial34,-0.0883941375224402,False
34,34,34,34,41343,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial35,-0.12492049545443,False
35,35,35,35,41344,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial36,-0.0866290300576846,False
36,36,36,36,41345,VXP_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial37,0.0980734578869149,False
