,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,0,0,0,0,41722,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial1,0.0980905559826741,False
1,1,1,1,1,1,1,1,41723,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial2,0.0685919801696775,False
2,2,2,2,2,2,2,2,41724,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial3,-0.1249204954544299,False
3,3,3,3,3,3,3,3,41725,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial4,-0.0866551921132084,False
4,4,4,4,4,4,4,4,41726,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial5,-0.123000853700018,False
5,5,5,5,5,5,5,5,41727,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial6,-0.177505198898491,False
6,6,6,6,6,6,6,6,41728,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial7,-0.090131282672361,False
7,7,7,7,7,7,7,7,41729,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial8,-0.0972752906231911,False
8,8,8,8,8,8,8,8,41730,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial9,-0.132597800014494,False
9,9,9,9,9,9,9,9,41731,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial10,-0.1544356318683299,False
10,10,10,10,10,10,10,10,41732,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial11,-0.177505198898491,False
11,11,11,11,11,11,11,11,41733,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial12,-0.0884204061282672,False
12,12,12,12,12,12,12,12,41734,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial13,-0.0547029218864594,False
13,13,13,13,13,13,13,13,41735,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial14,-0.119252639490386,False
14,14,14,14,14,14,14,14,41736,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial15,-0.1249204954544299,False
15,15,15,15,15,15,15,15,41737,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial16,-0.197232257222172,False
16,16,16,16,16,16,16,16,41738,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial17,-0.1345020068692869,False
17,17,17,17,17,17,17,17,41739,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial18,-0.0814711291985319,False
18,18,18,18,18,18,18,18,41740,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial19,-0.0356877870064376,False
19,19,19,19,19,19,19,19,41741,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial20,-0.160647204796765,False
20,20,20,20,20,20,20,20,41742,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial21,-0.199578520226936,False
21,21,21,21,21,21,21,21,41743,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial22,-0.0919107112452773,False
22,22,22,22,22,22,22,22,41744,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial23,-0.0579315292246676,False
23,23,23,23,23,23,23,23,41745,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial24,-0.0531258290992209,False
24,24,24,24,24,24,24,24,41746,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial25,-0.130711557860756,False
25,25,25,25,25,25,25,25,41747,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial26,-0.152452339608311,False
26,26,26,26,26,26,26,26,41748,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial27,-0.0831634456692854,False
27,27,27,27,27,27,27,27,41749,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial28,0.0317351359845102,False
28,28,28,28,28,28,28,28,41750,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial29,-0.132597800014494,False
29,29,29,29,29,29,29,29,41751,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial30,-0.206395503599398,False
30,30,30,30,30,30,30,30,41752,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial31,-0.14241161902086,False
31,31,31,31,31,31,31,31,41753,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial32,-0.148382014201073,False
32,32,32,32,32,32,32,32,41754,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial33,-0.0264646003633366,False
33,33,33,33,33,33,33,33,41755,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial34,-0.0482689310333866,False
34,34,34,34,34,34,34,34,41756,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial35,-0.0563345569840816,False
35,35,35,35,35,35,35,35,41757,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial36,-0.204092217395828,False
36,36,36,36,36,36,36,36,41758,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial37,-0.0936885972272576,False
37,37,37,37,37,37,37,37,41759,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial38,-0.115489897322638,False
38,38,38,38,38,38,38,38,41760,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial39,-0.152452339608311,False
39,39,39,39,39,39,39,39,41761,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial40,-0.1268390934924559,False
40,40,40,40,40,40,40,40,41762,VXP_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial41,-0.0745888887399393,False
