,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
42127,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial1,0.00886073403867194
42128,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial2,-0.185453056654756
42129,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial3,-0.15531687013603
42130,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial4,-0.234932659160574
42131,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial5,-0.180921670934107
42132,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial6,-0.104336403356645
42133,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial7,-0.053811608561253
42134,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial8,-0.104336403356645
42135,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial9,-0.109953360672916
42136,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial10,-0.180987805471212
42137,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial11,-0.0236148590387399
42138,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial12,0.0469796419234401
42139,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial13,-0.196678384715256
42140,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial14,-0.133009304845879
42141,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial15,-0.138952238710089
42142,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial16,-0.161575306555062
42143,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial17,-0.0345229036028676
42144,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial18,-0.212945299488154
42145,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial19,-0.0723286306213198
42146,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial20,-0.123297725180185
42147,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial21,0.0159297081661873
42148,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial22,-0.0688832897395386
42149,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial23,-0.104336403356645
42150,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial24,-0.095238839936894
42151,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial25,-0.133009304845879
42152,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial26,0.0201401014379332
42153,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial27,-0.0757496129887141
42154,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial28,-0.14503850692774
42155,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial29,-0.0880599586482749
42156,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial30,-0.0809540378248212
42157,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial31,-0.0740572965179607
42158,VXP_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run32,Trial32,-0.109953360672916
