,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT
126990,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial1,0.0732922564093887
126991,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial2,-0.0455586846318692
126992,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial3,-0.166461502246396
126993,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial4,0.0558441590185259
126994,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial5,-0.131358424086202
126995,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial6,-0.118868999596875
126996,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial7,-0.21731554982645301
126997,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial8,-0.127162208133143
126998,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial9,0.145849503827274
126999,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial10,-0.00430602113400758
127000,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial11,-0.0969297156766133
127001,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial12,-0.152959031842749
127002,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial13,-0.0472750945271878
127003,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial14,0.145849503827274
127004,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial15,-0.0285745958609445
127005,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial16,-0.180385478869546
127006,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial17,-0.114791182901239
127007,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial18,-0.102792422377019
127008,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial19,0.0275340347015289
127009,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial20,-0.0187038418346503
127010,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial21,-0.148549912937694
127011,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial22,-0.118899728342409
127012,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial23,0.0517283756882105
127013,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial24,0.201198426400373
127014,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial25,-0.0252593547094673
127015,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial26,-0.137740459629814
127016,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial27,-0.093051887493782
127017,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial28,-0.0285745958609445
127018,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial29,0.0926039918740487
127019,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial30,-0.125068817088172
127020,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial31,-0.0988621287485869
127021,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial32,-0.155169356223525
127022,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial33,-0.0911066640518245
127023,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial34,0.0231396131107036
127024,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial35,-0.144195965033011
127025,VXP_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial36,-0.013843296624299
