,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,Normalized_Log_RT,Fast
0,0,0,0,166022,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial1,0.0535073721544652,False
1,1,1,1,166023,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial2,-0.152513874727817,False
2,2,2,2,166024,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial3,-0.235234553799195,False
3,3,3,3,166025,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial4,-0.21431594184601,False
4,4,4,4,166026,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial5,0.0039108658610143,False
5,5,5,5,166027,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial6,-0.209287359750681,False
6,6,6,6,166028,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial7,-0.173008026190387,False
7,7,7,7,166029,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial8,-0.260069175014169,False
8,8,8,8,166030,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial9,-0.196829915273329,False
9,9,9,9,166031,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial10,-0.0945551633009725,False
10,10,10,10,166032,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial11,-0.227292917341108,False
11,11,11,11,166033,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial12,-0.0574311546153248,False
12,12,12,12,166034,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial13,-0.240669627488705,False
13,13,13,13,166035,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial14,-0.179938155269006,False
14,14,14,14,166036,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial15,-0.130946502522112,False
15,15,15,15,166037,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial16,-0.17293835141574,False
16,16,16,16,166038,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial17,-0.106306846327654,False
17,17,17,17,166039,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial18,-0.0663780245664545,False
18,18,18,18,166040,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial19,-0.137296446945234,False
19,19,19,19,166041,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial20,-0.177631453232121,False
20,20,20,20,166042,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial21,-0.201789950485457,False
21,21,21,21,166043,VXP_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial22,-0.0538680745317559,False
