,RUN,AverageLogRT
0,Run2,-0.05787175017352088
1,Run3,0.003807793961184735
2,Run4,-0.009489661887178544
3,Run5,-0.03063882191418793
4,Run6,-0.03183587936364407
5,Run7,-0.026275040712986954
6,Run8,0.027368012678836498
7,Run9,0.023476775674580022
8,Run11,-0.0011843918060861099
9,Run12,-0.013288133428525846
10,Run14,-0.04834086620666193
11,Run15,-0.036010716901446305
12,Run16,-0.019665046413178656
13,Run17,0.011677217763088422
14,Run18,-0.04659660633495382
15,Run19,-0.04974568418736884
16,Run20,-0.06664371418410556
17,Run21,-0.08122794735672671
18,Run23,-0.04084114040112383
19,Run24,-0.050844704070882527
20,Run26,-0.0472499330643121
21,Run27,-0.13805289555679293
22,Run28,-0.10077527339697911
23,Run29,-0.023795315470549087
24,Run30,-0.06523990942477215
25,Run31,-0.09232730752126654
26,Run32,-0.06770021208250208
27,Run33,-0.10371050937454013
28,Run35,-0.03509614189322436
29,Run36,-0.09505228454350857
