,RUN,AverageLogRT
0,Run2,-0.07660956653473723
1,Run3,-0.1339916895069283
2,Run4,-0.1683006990881927
3,Run5,-0.19708376031692248
4,Run6,-0.20423450814675878
5,Run7,-0.21609841629419838
6,Run8,-0.24134183854851896
7,Run9,-0.2590188360322195
8,Run11,-0.24613839266278356
9,Run12,-0.26011669165912393
10,Run14,-0.26053957689968055
11,Run15,-0.2816864361839545
12,Run16,-0.34694879829529857
13,Run17,-0.3121974102811466
14,Run18,-0.3927314323718858
15,Run19,-0.38344771761251584
16,Run20,-0.33824206971930354
17,Run21,-0.3751808552059719
18,Run23,-0.31696974472032047
19,Run24,-0.20913708485446814
20,Run26,-0.27362226061410594
21,Run27,-0.4133736848714211
22,Run28,-0.3578686115405487
23,Run29,-0.4393739808143187
24,Run30,-0.40879047100440064
25,Run31,-0.28904422811538316
26,Run32,-0.3464157890813449
27,Run33,-0.32133281403739306
28,Run35,-0.3040413293179076
29,Run36,-0.3153200827459397
