,RUN,AverageLogRT
0,Run2,0.02063676953545708
1,Run3,-0.0014662391319240212
2,Run4,-0.08767311849050195
3,Run5,-0.0618485218951001
4,Run6,-0.11656873051079072
5,Run7,-0.1465130598984607
6,Run8,-0.14063544750253976
7,Run9,-0.14178110966129479
8,Run11,-0.11221233435327381
9,Run12,-0.1826908445350431
10,Run14,-0.23377437625841105
11,Run15,-0.21885257699777147
12,Run16,-0.26071688643765645
13,Run17,-0.2697701346489979
14,Run18,-0.1551521869287481
15,Run19,-0.09314463370332471
16,Run20,-0.1125115157424892
17,Run21,-0.22386447647894303
18,Run23,-0.17561293977051495
19,Run24,-0.1949787049791617
20,Run26,-0.24233795580968462
21,Run27,-0.256346888165676
22,Run28,-0.28331174195482306
23,Run29,-0.29068913701611643
24,Run30,-0.27288330066518546
25,Run31,-0.2796374187626952
26,Run32,-0.33980063246128994
27,Run33,-0.2157113683912806
28,Run35,-0.11796569311037503
29,Run36,-0.13819891659483297
