,RUN,AverageLogRT
0,Run2,1.9202236205914017e-05
1,Run3,-0.049575372554926014
2,Run4,-0.08817407352580488
3,Run5,-0.12009067509373973
4,Run6,-0.08755553016151629
5,Run7,-0.060013990901675494
6,Run8,-0.09236716656484316
7,Run9,-0.22644805802053047
8,Run11,-0.04510748581625566
9,Run12,-0.27641044710212453
10,Run14,-0.2898048198446195
11,Run15,-0.329049634622324
12,Run16,-0.2237524015753919
13,Run17,-0.3417553560949798
14,Run18,-0.31100007331583385
15,Run19,-0.2392535501560588
16,Run20,-0.34055362922549093
17,Run21,-0.3702862897764686
18,Run23,-0.17071226997514174
19,Run24,-0.3348774460026595
20,Run26,-0.19598752985361675
21,Run27,-0.24896277157093408
22,Run28,-0.4238322845888103
23,Run29,-0.3159075287584401
24,Run30,-0.40896120105474554
25,Run31,-0.29764240196586655
26,Run32,-0.44647006240960413
27,Run33,-0.431836763285126
28,Run35,-0.37505478917804635
29,Run36,-0.3077584262699784
