,RUN,AverageLogRT
0,Run2,-0.06575633657744316
1,Run3,-0.12982791354788983
2,Run4,-0.21982625923114377
3,Run5,-0.3741928910828099
4,Run6,-0.21289452042214438
5,Run7,-0.38476714158665637
6,Run8,-0.16867862035244208
7,Run9,-0.2068364148422495
8,Run11,-0.11050916677920085
9,Run12,-0.22939232898970555
10,Run14,-0.2914706767676493
11,Run15,-0.4333915274759773
12,Run16,-0.4139551691295542
13,Run17,-0.4736178951147151
14,Run18,-0.45481396676307434
15,Run19,-0.46656681990066096
16,Run20,-0.3619741256212824
17,Run21,-0.4081192153792801
18,Run23,-0.38994518159705016
19,Run24,-0.3750131698588662
20,Run26,-0.1485475772904692
21,Run27,-0.33129301811278006
22,Run28,-0.39715925903918375
23,Run29,-0.3767037145272364
24,Run30,-0.422888094557153
25,Run31,-0.4423168246495075
26,Run32,-0.40069479281723713
27,Run33,-0.3766719727367624
28,Run35,-0.2982046218806334
29,Run36,-0.40994385187810145
