,RUN,AverageLogRT
0,Run2,-0.10110171976912409
1,Run3,-0.2298342995529706
2,Run4,-0.25927677812534283
3,Run5,-0.29781050577604407
4,Run6,-0.35672868164289284
5,Run7,-0.3238063413805421
6,Run8,-0.33845734062032923
7,Run9,-0.3343711077665988
8,Run11,-0.3081785901464023
9,Run12,-0.27217544253081205
10,Run14,-0.2918532789989994
11,Run15,-0.19567762149481496
12,Run16,-0.2732096889635459
13,Run17,-0.2454227031688379
14,Run18,-0.2993194877998927
15,Run19,-0.27830869830444227
16,Run20,-0.2820659772909462
17,Run21,-0.23494876875438087
18,Run23,-0.3005742925112988
19,Run24,-0.2658586135552515
20,Run26,-0.2998412904299712
21,Run27,-0.39446764578843585
22,Run28,-0.428019434556046
23,Run29,-0.39001594711404236
24,Run30,-0.39367706362125665
25,Run31,-0.35643003229894005
26,Run32,-0.35658343116204927
27,Run33,-0.3023520173156832
28,Run35,-0.29771415835402404
29,Run36,-0.3616844221099817
