,RUN,AverageLogRT
0,Run2,-0.060696222689493026
1,Run3,-0.019191339434775644
2,Run4,-0.0795268811389237
3,Run5,-0.14167238738106266
4,Run6,-0.11425158099480891
5,Run7,-0.1509238595290271
6,Run8,-0.13126345543775345
7,Run9,-0.13214316005544993
8,Run11,0.08444807578973268
9,Run12,-0.11368797653041118
10,Run14,-0.09946462989524159
11,Run15,-0.07656836916259904
12,Run16,-0.03529137694859363
13,Run17,-0.055151164833264085
14,Run18,-0.12049986667285846
15,Run19,-0.11954080108846109
16,Run20,-0.08287443696294984
17,Run21,-0.11371906575677014
18,Run23,-0.036278535458382125
19,Run24,-0.14507714398703236
20,Run26,-0.008568551505666648
21,Run27,-0.027288368235535026
22,Run28,-0.03731948790242047
23,Run29,-0.09343785983539132
24,Run30,-0.10818790783834681
25,Run31,-0.1174882089718782
26,Run32,-0.16334436244032144
27,Run33,-0.1927805029349029
28,Run35,-0.0038080304635148125
29,Run36,-0.10799023400319757
