,RUN,AverageLogRT
0,Run2,0.1362591096852187
1,Run3,0.0883918636273166
2,Run4,0.06696556511417778
3,Run5,0.02886928722251541
4,Run6,0.01605895391534666
5,Run7,-0.008303996768190195
6,Run8,-0.021654065607292935
7,Run9,-0.06085198388042428
8,Run11,-0.0742502719250503
9,Run12,-0.07977778946771774
10,Run14,-0.08384417433048577
11,Run15,-0.10132757964824568
12,Run16,-0.13519479597416326
13,Run17,-0.14717965529518975
14,Run18,-0.1608137708973333
15,Run19,-0.20963524522852423
16,Run20,-0.23247745413527285
17,Run21,-0.1886168789236331
18,Run23,-0.2285853716091282
19,Run24,-0.22843278682053814
20,Run26,-0.12002969504172095
21,Run27,-0.10179278703859475
22,Run28,-0.15309701230872752
23,Run29,-0.16827996900739844
24,Run30,-0.21412533388878505
25,Run31,-0.2530167413043323
26,Run32,-0.28006199264801135
27,Run33,-0.29222028515983905
28,Run35,-0.17903870517148282
29,Run36,-0.2025525510368144
