,RUN,AverageLogRT
0,Run2,-0.010719832275687098
1,Run3,-0.0315951418878996
2,Run4,-0.051621791193646745
3,Run5,-0.037498572372746716
4,Run6,-0.08121118285244985
5,Run7,-0.07982345126492339
6,Run8,-0.0579208025661466
7,Run9,-0.06762828631116957
8,Run11,-0.0352631130294865
9,Run12,-0.10097978932101816
10,Run14,-0.07355367513301327
11,Run15,-0.05494302878209601
12,Run16,-0.07354831612389942
13,Run17,-0.07335704968865565
14,Run18,-0.07526162800163222
15,Run19,-0.13582213396798157
16,Run20,-0.15228275022843518
17,Run21,-0.214359200313456
18,Run23,-0.06695234913512584
19,Run24,-0.09323517311481856
20,Run26,-0.021213977323946535
21,Run27,-0.043934986182184395
22,Run28,-0.08273073770675382
23,Run29,-0.19437150111853002
24,Run30,-0.3525159761921546
25,Run31,-0.32957813457718227
26,Run32,-0.3287156995305259
27,Run33,-0.34120549158065244
28,Run35,-0.21512877155070795
29,Run36,-0.3690991454897361
