,RUN,AverageLogRT
0,Run2,-0.029043249597548962
1,Run3,0.010330931936091237
2,Run4,-0.0421029856188044
3,Run5,-0.07442577334241147
4,Run6,-0.09685872144217061
5,Run7,-0.08503091019429904
6,Run8,-0.1085538543622192
7,Run9,-0.07674042869361035
8,Run11,-0.03548698721129839
9,Run12,-0.04215204213788001
10,Run14,-0.023064778975978528
11,Run15,0.00017601310954415634
12,Run16,-0.07273209965497182
13,Run17,-0.12911067995967349
14,Run18,-0.10614656666390318
15,Run19,-0.06761933032818707
16,Run20,-0.04376785045128153
17,Run21,-0.02863586426915007
18,Run23,-0.00887701986071548
19,Run24,-0.019177418194142513
20,Run26,-0.021291011720548682
21,Run27,-0.09045619997361709
22,Run28,-0.060871857186132486
23,Run29,-0.07132448962864853
24,Run30,-0.07972837160402645
25,Run31,-0.025161536296955996
26,Run32,-0.00918252915232793
27,Run33,-0.04627672391457022
28,Run35,-0.008501759886911979
29,Run36,-0.07441055528360241
