,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
99895,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial1,2.748
99896,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial2,2.713
99897,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial3,2.901
99898,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial4,2.659
99899,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial5,3.068
99900,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial6,2.771
99901,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial7,2.604
99902,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial8,2.996
99903,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial9,2.604
99904,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial10,2.742
99905,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial11,2.679
99906,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial12,2.889
99907,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial13,2.739
99908,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial14,3.166
99909,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial15,3.015
99910,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial16,2.708
99911,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial17,2.888
99912,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial18,2.653
99913,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial19,2.477
99914,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial20,2.718
99915,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial21,2.737
99916,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial22,2.812
99917,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial23,2.595
99918,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial24,2.992
99919,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial25,2.917
99920,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial26,2.861
99921,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial27,2.897
99922,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial28,2.795
99923,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial29,2.922
99924,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial30,2.805
99925,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial31,2.651
99926,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial32,2.595
99927,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial33,1.845
99928,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial34,2.885
99929,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial35,2.943
99930,AAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial36,2.978
