,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
148103,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial1,2.668
148104,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial2,2.757
148105,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial3,2.681
148106,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial4,2.676
148107,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial5,2.568
148108,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial6,2.617
148109,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial7,2.69
148110,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial8,2.587
148111,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial9,2.836
148112,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial10,2.635
148113,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial11,2.578
148114,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial12,2.777
148115,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial13,2.613
148116,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial14,2.728
148117,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial15,2.615
148118,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial16,2.716
148119,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial17,2.566
148120,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial18,2.598
148121,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial19,2.881
148122,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial20,2.765
148123,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial21,2.661
148124,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial22,2.571
148125,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial23,2.638
148126,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial24,2.792
148127,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial25,2.679
148128,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial26,2.688
148129,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial27,2.784
148130,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial28,2.697
148131,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial29,2.855
148132,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial30,2.731
148133,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial31,2.638
148134,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial32,2.692
148135,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial33,2.655
148136,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial34,2.951
148137,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial35,2.534
148138,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial36,2.726
148139,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial37,2.596
148140,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial38,2.728
148141,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial39,2.973
148142,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial40,2.551
148143,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial41,2.696
148144,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial42,2.629
148145,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial43,2.763
148146,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial44,2.941
148147,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial45,2.785
148148,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial46,2.609
148149,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial47,2.681
148150,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial48,2.834
148151,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial49,2.756
148152,AAF_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run17,Trial50,2.784
