,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
51543,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial1,2.759
51544,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial2,2.589
51545,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial3,2.748
51546,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial4,2.81
51547,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial5,2.643
51548,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial6,2.808
51549,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial7,2.809
51550,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial8,2.81
51551,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial9,2.843
51552,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial10,2.881
51553,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial11,2.701
51554,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial12,2.582
51555,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial13,2.645
51556,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial14,2.888
51557,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial15,3.168
51558,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial16,2.568
51559,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial17,2.709
51560,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial18,2.659
51561,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial19,2.784
51562,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial20,2.57
51563,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial21,2.818
51564,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial22,2.859
51565,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial23,2.75
51566,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial24,2.702
51567,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial25,2.771
51568,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial26,2.775
51569,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial27,2.742
51570,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial28,2.836
51571,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial29,2.734
51572,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial30,2.726
51573,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial31,2.791
51574,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial32,2.846
51575,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial33,2.826
51576,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial34,2.617
51577,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial35,2.791
51578,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial36,2.865
51579,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial37,2.791
51580,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial38,2.836
51581,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial39,2.679
51582,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial40,2.81
51583,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial41,2.704
51584,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial42,2.619
51585,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial43,2.692
51586,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial44,2.751
51587,AVB_Cath_CONTROL,CONTROL,Block3,RANDOM,CATHOD,Run25,Trial45,2.791
