,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
101001,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial1,2.888
101002,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial2,2.709
101003,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial3,2.643
101004,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial4,2.868
101005,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial5,2.547
101006,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial6,2.734
101007,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial7,2.699
101008,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial8,2.647
101009,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial9,2.753
101010,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial10,2.559
101011,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial11,2.659
101012,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial12,2.668
101013,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial13,2.613
101014,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial14,2.851
101015,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial15,2.821
101016,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial16,2.575
101017,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial17,2.606
101018,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial18,2.566
101019,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial19,2.792
101020,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial20,2.619
101021,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial21,2.823
101022,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial22,3.157
101023,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial23,2.456
101024,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial24,2.959
101025,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial25,2.821
101026,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial26,2.627
101027,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial27,2.683
101028,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial28,2.519
101029,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial29,2.704
101030,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial30,2.604
101031,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial31,2.692
101032,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial32,2.699
101033,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial33,2.835
101034,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial34,2.835
101035,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial35,2.757
101036,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial36,2.668
101037,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial37,2.704
101038,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial38,2.75
101039,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial39,2.843
101040,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial40,2.729
101041,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial41,2.893
101042,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial42,2.676
101043,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial43,2.897
101044,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial44,2.867
101045,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial45,2.771
101046,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial46,2.637
101047,AVB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run9,Trial47,2.692
