,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
150584,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial1,2.954
150585,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial2,2.865
150586,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial3,2.474
150587,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial4,2.369
150588,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial5,2.521
150589,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial6,2.78
150590,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial7,2.694
150591,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial8,2.554
150592,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial9,2.326
150593,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial10,2.659
150594,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial11,2.894
150595,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial12,2.721
150596,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial13,2.511
150597,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial14,2.354
150598,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial15,2.391
150599,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial16,2.812
150600,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial17,2.497
150601,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial18,2.613
150602,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial19,2.297
150603,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial20,2.559
150604,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial21,2.821
150605,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial22,2.778
150606,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial23,2.5
150607,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial24,2.338
150608,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial25,2.279
150609,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial26,2.877
150610,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial27,2.547
150611,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial28,2.719
150612,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial29,2.511
150613,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial30,2.653
150614,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial31,2.926
150615,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial32,2.609
150616,AVB_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial33,2.568
