,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
4273,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial1,2.742
4274,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial2,2.771
4275,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial3,2.653
4276,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial4,2.769
4277,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial5,2.772
4278,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial6,2.775
4279,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial7,2.537
4280,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial8,2.728
4281,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial9,3.084
4282,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial10,2.627
4283,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial11,2.637
4284,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial12,2.6
4285,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial13,2.744
4286,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial14,2.747
4287,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial15,2.532
4288,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial16,2.638
4289,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial17,2.757
4290,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial18,2.697
4291,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial19,2.908
4292,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial20,3.115
4293,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial21,2.967
4294,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial22,3.109
4295,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial23,2.943
4296,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial24,2.955
4297,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial25,2.919
4298,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial26,2.778
4299,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial27,2.825
4300,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial28,3.078
4301,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial29,3.028
4302,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial30,3.022
4303,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial31,2.805
4304,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial32,2.748
4305,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial33,2.851
4306,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial34,2.839
4307,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial35,2.751
4308,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial36,2.716
4309,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial37,2.817
4310,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial38,2.976
4311,CRB_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run20,Trial39,3.052
