,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
102723,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial1,2.838
102724,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial2,2.635
102725,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial3,2.645
102726,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial4,2.777
102727,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial5,2.676
102728,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial6,2.683
102729,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial7,2.629
102730,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial8,2.534
102731,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial9,2.726
102732,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial10,2.629
102733,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial11,2.701
102734,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial12,2.663
102735,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial13,2.591
102736,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial14,2.653
102737,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial15,2.647
102738,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial16,2.74
102739,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial17,2.647
102740,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial18,2.88
102741,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial19,2.763
102742,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial20,2.716
102743,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial21,2.827
102744,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial22,2.635
102745,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial23,2.613
102746,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial24,2.728
102747,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial25,2.663
102748,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial26,2.81
102749,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial27,2.627
102750,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial28,2.763
102751,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial29,2.833
102752,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial30,2.891
102753,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial31,2.923
102754,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial32,2.709
102755,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial33,2.754
102756,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial34,2.892
102757,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial35,2.704
102758,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial36,2.774
102759,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial37,2.687
102760,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial38,2.708
102761,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial39,2.728
102762,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial40,2.706
102763,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial41,2.809
102764,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial42,2.641
102765,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial43,2.817
102766,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial44,2.953
102767,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial45,2.704
102768,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial46,2.818
102769,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial47,2.685
102770,CRB_Sham_CONTROL,CONTROL,Block1,FIXED,SHAM,Run7,Trial48,2.719
