,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
54135,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial1,2.742
54136,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial2,2.582
54137,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial3,2.769
54138,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial4,2.602
54139,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial5,2.542
54140,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial6,2.98
54141,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial7,2.736
54142,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial8,2.753
54143,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial9,2.706
54144,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial10,2.75
54145,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial11,2.907
54146,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial12,2.699
54147,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial13,2.678
54148,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial14,2.67
54149,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial15,2.816
54150,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial16,2.817
54151,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial17,2.667
54152,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial18,2.69
54153,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial19,2.697
54154,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial20,2.78
54155,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial21,3.073
54156,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial22,2.769
54157,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial23,2.734
54158,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial24,2.787
54159,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial25,2.766
54160,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial26,2.803
54161,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial27,2.721
54162,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial28,2.83
54163,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial29,2.672
54164,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial30,2.826
54165,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial31,3.079
54166,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial32,2.706
54167,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial33,2.787
54168,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial34,2.777
54169,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial35,2.813
54170,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial36,2.825
54171,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial37,2.757
54172,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial38,2.75
54173,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial39,2.674
54174,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial40,2.784
54175,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial41,2.809
54176,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial42,2.701
54177,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial43,2.884
54178,DLC_Cath_CONTROL,CONTROL,Block1,FIXED,CATHOD,Run7,Trial44,2.676
