,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
105906,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial1,2.821
105907,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial2,2.593
105908,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial3,2.85
105909,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial4,2.775
105910,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial5,2.801
105911,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial6,2.719
105912,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial7,2.887
105913,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial8,2.748
105914,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial9,2.739
105915,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial10,2.743
105916,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial11,2.92
105917,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial12,2.768
105918,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial13,2.708
105919,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial14,2.687
105920,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial15,3.067
105921,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial16,2.855
105922,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial17,2.718
105923,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial18,2.668
105924,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial19,2.769
105925,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial20,2.817
105926,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial21,2.785
105927,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial22,2.751
105928,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial23,2.731
105929,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial24,2.748
105930,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial25,2.81
105931,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial26,2.716
105932,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial27,2.709
105933,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial28,2.74
105934,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial29,2.757
105935,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial30,2.621
105936,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial31,2.706
105937,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial32,2.739
105938,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial33,2.768
105939,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial34,2.617
105940,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial35,2.629
105941,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial36,2.798
105942,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial37,2.79
105943,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial38,2.803
105944,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial39,2.734
105945,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial40,2.775
105946,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial41,2.822
105947,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial42,2.834
105948,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial43,2.802
105949,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial44,2.745
105950,DLC_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial45,2.877
