,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
8293,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial1,2.797
8294,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial2,2.728
8295,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial3,2.757
8296,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial4,2.602
8297,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial5,2.477
8298,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial6,2.453
8299,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial7,2.598
8300,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial8,2.301
8301,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial9,2.477
8302,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial10,1.954
8303,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial11,2.322
8304,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial12,2.297
8305,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial13,2.305
8306,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial14,2.48
8307,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial15,2.274
8308,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial16,2.204
8309,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial17,2.176
8310,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial18,2.033
8311,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial19,2.292
8312,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial20,2.017
8313,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial21,2.241
8314,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial22,2.17
8315,DSL_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial23,2.676
