,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
57153,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial1,2.855
57154,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial2,2.477
57155,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial3,2.369
57156,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial4,2.5
57157,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial5,2.193
57158,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial6,2.246
57159,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial7,1.934
57160,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial8,2.314
57161,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial9,2.711
57162,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial10,2.643
57163,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial11,2.489
57164,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial12,2.057
57165,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial13,2.369
57166,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial14,2.663
57167,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial15,2.468
57168,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial16,2.33
57169,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial17,2.188
57170,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial18,2.405
57171,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial19,2.566
57172,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial20,2.521
57173,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial21,2.373
57174,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial22,1.792
57175,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial23,2.391
57176,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial24,2.593
57177,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial25,2.444
57178,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial26,2.444
57179,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial27,2.26
57180,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial28,2.305
57181,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial29,2.6
57182,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial30,2.718
57183,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial31,2.568
57184,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial32,2.152
57185,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial33,2.358
57186,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial34,2.593
57187,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial35,2.415
57188,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial36,2.326
57189,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial37,2.017
57190,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial38,2.38
57191,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial39,2.683
57192,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial40,2.519
57193,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial41,2.539
57194,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial42,2.225
57195,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial43,2.428
57196,DSL_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial44,2.6
