,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
154677,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial1,2.762
154678,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial2,2.391
154679,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial3,2.702
154680,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial4,2.408
154681,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial5,2.412
154682,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial6,2.511
154683,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial7,2.322
154684,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial8,2.513
154685,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial9,2.415
154686,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial10,2.513
154687,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial11,2.83
154688,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial12,2.391
154689,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial13,2.716
154690,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial14,2.431
154691,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial15,2.318
154692,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial16,2.412
154693,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial17,2.326
154694,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial18,2.593
154695,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial19,2.358
154696,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial20,2.176
154697,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial21,2.521
154698,DSL_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run9,Trial22,2.369
