,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
109118,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial1,2.753
109119,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial2,2.58
109120,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial3,2.537
109121,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial4,2.74
109122,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial5,2.542
109123,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial6,2.645
109124,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial7,2.589
109125,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial8,2.566
109126,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial9,2.708
109127,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial10,2.609
109128,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial11,2.651
109129,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial12,2.595
109130,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial13,2.554
109131,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial14,2.685
109132,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial15,2.719
109133,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial16,2.589
109134,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial17,2.602
109135,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial18,2.692
109136,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial19,2.655
109137,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial20,2.649
109138,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial21,2.593
109139,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial22,2.551
109140,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial23,2.505
109141,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial24,2.667
109142,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial25,2.559
109143,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial26,2.573
109144,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial27,2.531
109145,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial28,2.529
109146,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial29,2.681
109147,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial30,2.674
109148,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial31,2.653
109149,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial32,2.561
109150,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial33,2.556
109151,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial34,2.591
109152,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial35,2.549
109153,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial36,2.635
109154,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial37,2.613
109155,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial38,2.573
109156,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial39,2.699
109157,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial40,2.595
109158,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial41,2.674
109159,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial42,2.76
109160,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial43,2.639
109161,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial44,2.92
109162,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial45,2.629
109163,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial46,2.67
109164,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial47,2.708
109165,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial48,2.74
109166,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial49,2.854
109167,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial50,2.844
109168,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial51,2.759
109169,EGW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial52,2.739
