,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
12749,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial1,3.167
12750,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial2,2.547
12751,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial3,2.855
12752,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial4,2.647
12753,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial5,2.072
12754,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial6,2.236
12755,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial7,2.288
12756,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial8,2.491
12757,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial9,2.606
12758,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial10,2.76
12759,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial11,2.687
12760,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial12,2.524
12761,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial13,2.835
12762,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial14,2.58
12763,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial15,2.589
12764,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial16,2.318
12765,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial17,2.292
12766,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial18,2.447
12767,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial19,2.631
12768,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial20,2.362
12769,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial21,2.365
12770,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial22,2.369
12771,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial23,2.274
12772,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial24,2.438
12773,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial25,2.25
12774,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial26,2.22
12775,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial27,2.373
12776,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial28,2.199
12777,FRF_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial29,2.486
