,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
61084,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial1,2.778
61085,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial2,2.577
61086,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial3,2.79
61087,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial4,2.661
61088,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial5,2.763
61089,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial6,2.575
61090,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial7,2.444
61091,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial8,2.831
61092,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial9,2.556
61093,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial10,2.513
61094,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial11,2.639
61095,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial12,2.582
61096,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial13,2.539
61097,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial14,2.497
61098,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial15,2.365
61099,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial16,2.425
61100,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial17,2.542
61101,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial18,2.519
61102,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial19,2.659
61103,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial20,2.508
61104,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial21,2.505
61105,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial22,2.505
61106,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial23,2.6
61107,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial24,2.559
61108,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial25,2.394
61109,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial26,2.425
61110,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial27,2.5
61111,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial28,2.45
61112,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial29,2.519
61113,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial30,2.338
61114,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial31,2.373
61115,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial32,2.502
61116,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial33,2.48
61117,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial34,2.428
61118,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial35,2.314
61119,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial36,2.486
61120,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial37,2.459
61121,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial38,2.483
61122,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial39,2.459
61123,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial40,2.35
61124,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial41,2.441
61125,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial42,2.511
61126,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial43,2.462
61127,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial44,2.438
61128,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial45,2.326
61129,FRF_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run15,Trial46,2.575
