,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
62225,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial1,2.744
62226,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial2,2.563
62227,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial3,2.692
62228,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial4,2.465
62229,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial5,2.326
62230,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial6,2.365
62231,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial7,2.398
62232,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial8,2.58
62233,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial9,2.365
62234,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial10,2.31
62235,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial11,2.279
62236,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial12,2.322
62237,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial13,2.444
62238,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial14,2.334
62239,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial15,2.338
62240,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial16,2.346
62241,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial17,2.318
62242,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial18,2.415
62243,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial19,2.391
62244,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial20,2.334
62245,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial21,2.305
62246,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial22,2.373
62247,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial23,2.405
62248,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial24,2.384
62249,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial25,2.322
62250,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial26,2.297
62251,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial27,2.369
62252,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial28,2.401
62253,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial29,2.35
62254,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial30,2.283
62255,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial31,2.358
62256,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial32,2.391
62257,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial33,2.395
62258,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial34,2.305
62259,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial35,2.346
62260,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial36,2.35
62261,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial37,2.511
62262,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial38,2.529
62263,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial39,2.318
62264,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial40,2.358
62265,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial41,2.362
62266,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial42,2.398
62267,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial43,2.398
62268,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial44,2.274
62269,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial45,2.318
62270,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial46,2.415
62271,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial47,2.362
62272,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial48,2.422
62273,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial49,2.369
62274,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial50,2.373
62275,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial51,2.279
62276,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial52,2.354
62277,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial53,2.387
62278,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial54,2.26
62279,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial55,2.274
62280,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial56,2.38
62281,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial57,2.384
62282,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial58,2.387
62283,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial59,2.391
62284,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial60,2.301
62285,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial61,2.373
62286,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial62,2.405
62287,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial63,2.405
62288,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial64,2.408
62289,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial65,2.288
62290,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial66,2.362
62291,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial67,2.494
62292,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial68,2.447
62293,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial69,2.471
62294,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial70,2.365
62295,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial71,2.274
62296,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial72,2.602
62297,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial73,2.661
62298,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial74,2.809
62299,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial75,2.468
62300,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial76,2.491
62301,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial77,2.26
62302,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial78,2.474
62303,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial79,2.398
62304,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial80,2.373
62305,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial81,2.405
62306,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial82,2.405
62307,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial83,2.505
62308,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial84,2.483
62309,FRF_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run32,Trial85,2.405
