,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
59511,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial1,2.16435285578444
59512,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial2,1.91397271155097
59513,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial3,2.23039782490408
59514,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial4,1.85745311703527
59515,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial5,2.05694294567288
59516,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial6,2.13350697377835
59517,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial7,1.76327821101898
59518,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial8,1.88075644451021
59519,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial9,2.59554031039796
59520,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial10,2.35412765529226
59521,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial11,1.83244504117411
59522,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial12,2.25524837696186
59523,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial13,1.94453202099198
59524,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial14,2.28321074126038
59525,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial15,1.83244504117411
59526,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial16,2.27875360095283
59527,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial17,1.69940408181534
59528,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial18,1.91397271155097
59529,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial19,1.95409772047919
59530,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial20,2.35401234566722
59531,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial21,1.93449845124357
59532,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial22,1.89209460269048
59533,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial23,2.82348727085081
59534,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial24,2.12700755737133
59535,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial25,2.17614916112655
59536,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial26,2.17597543174951
59537,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial27,2.00855759178425
59538,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial28,2.1987120574604
59539,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial29,2.2148438480477
59540,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial30,2.07918124604762
59541,GSP_Cath_PATIENT,PATIENT,Block2,FIXED,CATHOD,Run19,Trial31,2.31795892470095
