,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
16854,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial1,2.67
16855,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial2,2.48
16856,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial3,2.598
16857,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial4,2.556
16858,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial5,2.391
16859,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial6,2.366
16860,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial7,2.23
16861,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial8,2.318
16862,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial9,2.322
16863,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial10,2.22
16864,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial11,2.236
16865,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial12,2.246
16866,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial13,2.255
16867,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial14,2.305
16868,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial15,2.146
16869,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial16,2.255
16870,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial17,2.394
16871,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial18,2.187
16872,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial19,2.35
16873,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial20,2.251
16874,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial21,2.297
16875,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial22,2.269
16876,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial23,2.377
16877,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial24,2.283
16878,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial25,2.551
16879,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial26,2.25
16880,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial27,2.843
16881,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial28,2.575
16882,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial29,2.67
16883,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial30,2.456
16884,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial31,2.734
16885,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial32,2.875
16886,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial33,2.692
16887,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial34,2.551
16888,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial35,2.462
16889,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial36,2.322
16890,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial37,2.418
16891,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial38,2.395
16892,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial39,2.269
16893,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial40,2.199
16894,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial41,2.25
16895,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial42,2.225
16896,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial43,2.31
16897,IXD_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run23,Trial44,2.204
