,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
115531,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial1,2.719
115532,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial2,2.589
115533,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial3,2.584
115534,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial4,2.521
115535,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial5,2.559
115536,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial6,2.674
115537,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial7,2.546
115538,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial8,2.48
115539,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial9,2.456
115540,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial10,2.524
115541,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial11,2.663
115542,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial12,2.491
115543,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial13,2.33
115544,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial14,2.334
115545,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial15,2.236
115546,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial16,2.283
115547,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial17,2.064
115548,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial18,2.274
115549,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial19,2.107
115550,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial20,2.33
115551,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial21,2.188
115552,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial22,2.152
115553,IXD_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run35,Trial23,2.12
