,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
20326,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial1,2.865
20327,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial2,2.718
20328,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial3,2.604
20329,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial4,2.615
20330,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial5,2.593
20331,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial6,2.531
20332,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial7,2.384
20333,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial8,2.685
20334,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial9,2.373
20335,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial10,2.204
20336,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial11,2.326
20337,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial12,2.182
20338,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial13,2.314
20339,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial14,2.283
20340,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial15,2.121
20341,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial16,2.146
20342,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial17,2.057
20343,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial18,2.182
20344,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial19,2.152
20345,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial20,2.0
20346,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial21,2.146
20347,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial22,2.164
20348,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial23,2.182
20349,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial24,2.152
20350,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial25,2.0
20351,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial26,2.14
20352,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial27,2.049
20353,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial28,2.182
20354,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial29,2.199
20355,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial30,2.114
20356,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial31,2.086
20357,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial32,2.204
20358,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial33,2.127
20359,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial34,2.146
20360,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial35,1.991
20361,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial36,2.14
20362,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial37,2.107
20363,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial38,2.134
20364,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial39,2.101
20365,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial40,2.121
20366,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial41,2.086
20367,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial42,2.114
20368,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial43,2.134
20369,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial44,2.199
20370,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial45,2.065
20371,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial46,2.086
20372,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial47,2.209
20373,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial48,2.072
20374,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial49,2.1
20375,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial50,2.121
20376,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial51,2.086
20377,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial52,2.107
20378,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial53,2.134
20379,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial54,2.1
20380,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial55,2.17
20381,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial56,2.025
20382,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial57,2.209
20383,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial58,2.017
20384,JAF_Anod_CONTROL,CONTROL,Block3,FIXED,ANOD,Run26,Trial59,2.1
