,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
65657,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial1,2.902
65658,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial2,2.613
65659,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial3,2.625
65660,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial4,2.602
65661,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial5,2.663
65662,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial6,2.641
65663,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial7,2.526
65664,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial8,2.679
65665,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial9,2.513
65666,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial10,2.687
65667,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial11,3.117
65668,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial12,2.573
65669,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial13,2.637
65670,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial14,2.745
65671,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial15,2.724
65672,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial16,2.659
65673,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial17,2.604
65674,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial18,2.679
65675,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial19,2.554
65676,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial20,2.639
65677,JAF_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial21,2.816
