,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
116926,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial1,2.152
116927,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial2,2.121
116928,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial3,2.086
116929,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial4,2.209
116930,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial5,2.072
116931,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial6,2.279
116932,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial7,2.638
116933,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial8,2.692
116934,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial9,2.655
116935,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial10,2.893
116936,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial11,2.629
116937,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial12,2.468
116938,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial13,2.74
116939,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial14,2.477
116940,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial15,2.31
116941,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial16,2.709
116942,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial17,2.394
116943,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial18,2.14
116944,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial19,2.459
116945,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial20,2.158
116946,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial21,2.26
116947,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial22,2.629
116948,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial23,2.657
116949,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial24,2.279
116950,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial25,2.322
116951,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial26,2.33
116952,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial27,2.086
116953,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial28,2.049
116954,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial29,2.017
116955,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial30,2.107
116956,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial31,2.297
116957,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial32,2.086
116958,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial33,2.107
116959,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial34,2.017
116960,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial35,2.107
116961,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial36,2.176
116962,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial37,1.881
116963,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial38,2.17
116964,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial39,2.086
116965,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial40,2.049
116966,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial41,2.494
116967,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial42,2.134
116968,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial43,2.152
116969,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial44,2.215
116970,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial45,2.086
116971,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial46,2.245
116972,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial47,2.0
116973,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial48,2.146
116974,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial49,1.991
116975,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial50,2.086
116976,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial51,2.21
116977,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial52,2.072
116978,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial53,2.152
116979,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial54,2.17
116980,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial55,2.086
116981,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial56,2.245
116982,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial57,2.009
116983,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial58,2.193
116984,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial59,1.914
116985,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial60,2.14
116986,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial61,2.635
116987,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial62,2.23
116988,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial63,2.408
116989,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial64,2.318
116990,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial65,2.0
116991,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial66,2.477
116992,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial67,2.14
116993,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial68,2.107
116994,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial69,2.079
116995,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial70,2.152
116996,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial71,2.121
116997,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial72,1.954
116998,JAF_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial73,2.209
