,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
159072,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial1,2.283
159073,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial2,2.064
159074,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial3,2.661
159075,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial4,2.326
159076,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial5,2.134
159077,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial6,2.152
159078,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial7,2.17
159079,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial8,2.23
159080,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial9,2.663
159081,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial10,2.22
159082,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial11,2.188
159083,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial12,2.204
159084,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial13,2.072
159085,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial14,2.093
159086,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial15,2.255
159087,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial16,2.833
159088,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial17,2.265
159089,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial18,2.146
159090,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial19,2.064
159091,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial20,2.497
159092,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial21,2.14
159093,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial22,2.204
159094,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial23,2.009
159095,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial24,2.193
159096,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial25,1.991
159097,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial26,2.23
159098,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial27,2.246
159099,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial28,2.121
159100,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial29,2.305
159101,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial30,2.041
159102,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial31,2.362
159103,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial32,2.225
159104,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial33,2.152
159105,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial34,2.292
159106,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial35,2.079
159107,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial36,2.314
159108,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial37,2.21
159109,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial38,2.127
159110,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial39,2.146
159111,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial40,2.17
159112,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial41,2.188
159113,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial42,2.199
159114,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial43,2.215
159115,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial44,2.14
159116,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial45,2.318
159117,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial46,2.215
159118,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial47,2.225
159119,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial48,2.041
159120,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial49,2.17
159121,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial50,2.474
159122,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial51,2.338
159123,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial52,2.152
159124,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial53,2.17
159125,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial54,2.14
159126,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial55,2.566
159127,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial56,2.236
159128,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial57,2.164
159129,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial58,2.079
159130,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial59,2.152
159131,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial60,2.121
159132,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial61,2.236
159133,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial62,2.204
159134,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial63,2.176
159135,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial64,2.193
159136,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial65,2.158
159137,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial66,2.394
159138,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial67,2.23
159139,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial68,2.152
159140,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial69,2.387
159141,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial70,2.672
159142,JAF_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run8,Trial71,2.245
