,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
22354,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial1,2.906
22355,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial2,2.486
22356,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial3,2.737
22357,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial4,2.688
22358,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial5,2.459
22359,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial6,2.848
22360,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial7,2.483
22361,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial8,2.502
22362,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial9,2.456
22363,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial10,2.524
22364,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial11,2.521
22365,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial12,2.474
22366,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial13,2.629
22367,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial14,2.74
22368,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial15,2.519
22369,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial16,2.559
22370,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial17,2.716
22371,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial18,2.782
22372,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial19,2.604
22373,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial20,2.544
22374,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial21,2.497
22375,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial22,2.69
22376,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial23,2.587
22377,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial24,2.524
22378,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial25,2.678
22379,JEC_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run16,Trial26,2.714
