,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
119729,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial1,2.849
119730,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial2,2.683
119731,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial3,2.629
119732,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial4,2.699
119733,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial5,2.58
119734,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial6,2.69
119735,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial7,2.621
119736,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial8,2.631
119737,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial9,2.643
119738,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial10,2.568
119739,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial11,2.665
119740,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial12,2.674
119741,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial13,2.635
119742,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial14,2.645
119743,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial15,2.591
119744,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial16,2.697
119745,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial17,2.645
119746,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial18,2.639
119747,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial19,2.6
119748,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial20,2.596
119749,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial21,2.641
119750,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial22,2.695
119751,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial23,2.643
119752,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial24,2.668
119753,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial25,2.615
119754,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial26,2.674
119755,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial27,2.619
119756,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial28,2.631
119757,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial29,2.714
119758,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial30,2.615
119759,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial31,2.716
119760,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial32,2.709
119761,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial33,2.641
119762,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial34,2.724
119763,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial35,2.702
119764,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial36,2.784
119765,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial37,2.655
119766,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial38,2.598
119767,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial39,2.674
119768,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial40,2.587
119769,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial41,2.782
119770,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial42,2.668
119771,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial43,2.596
119772,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial44,2.906
119773,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial45,2.587
119774,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial46,2.734
119775,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial47,2.713
119776,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial48,2.692
119777,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial49,2.954
119778,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial50,2.631
119779,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial51,2.657
119780,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial52,2.695
119781,JEC_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run16,Trial53,2.674
