,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
23820,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial1,2.881
23821,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial2,2.765
23822,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial3,2.676
23823,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial4,2.798
23824,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial5,2.641
23825,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial6,2.651
23826,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial7,2.645
23827,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial8,2.699
23828,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial9,2.803
23829,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial10,2.747
23830,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial11,2.639
23831,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial12,2.708
23832,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial13,2.788
23833,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial14,2.791
23834,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial15,2.732
23835,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial16,2.797
23836,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial17,2.851
23837,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial18,2.963
23838,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial19,2.678
23839,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial20,2.687
23840,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial21,2.734
23841,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial22,2.787
23842,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial23,2.986
23843,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial24,2.781
23844,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial25,2.827
23845,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial26,3.091
23846,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial27,2.892
23847,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial28,2.79
23848,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial29,2.814
23849,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial30,2.856
23850,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial31,2.792
23851,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial32,2.806
23852,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial33,2.849
23853,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial34,2.99
23854,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial35,3.115
23855,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial36,2.708
23856,JSH_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run5,Trial37,2.701
