,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
72313,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial1,2.863
72314,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial2,2.742
72315,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial3,2.694
72316,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial4,2.74
72317,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial5,2.803
72318,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial6,2.794
72319,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial7,2.859
72320,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial8,2.651
72321,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial9,2.676
72322,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial10,2.763
72323,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial11,2.79
72324,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial12,2.732
72325,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial13,2.697
72326,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial14,2.645
72327,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial15,2.713
72328,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial16,2.768
72329,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial17,2.709
72330,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial18,2.672
72331,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial19,2.635
72332,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial20,2.744
72333,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial21,2.748
72334,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial22,2.753
72335,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial23,2.598
72336,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial24,2.611
72337,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial25,2.697
72338,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial26,2.719
72339,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial27,2.849
72340,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial28,2.587
72341,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial29,2.665
72342,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial30,2.688
72343,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial31,2.723
72344,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial32,2.947
72345,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial33,2.544
72346,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial34,2.615
72347,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial35,2.702
72348,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial36,2.667
72349,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial37,2.822
72350,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial38,2.595
72351,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial39,2.609
72352,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial40,2.668
72353,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial41,2.719
72354,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial42,2.683
72355,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial43,2.676
72356,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial44,2.589
72357,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial45,2.695
72358,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial46,2.702
72359,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial47,2.736
72360,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial48,2.554
72361,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial49,2.699
72362,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run26,Trial50,2.706
