,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
72363,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial1,2.83
72364,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial2,2.655
72365,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial3,2.6
72366,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial4,2.577
72367,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial5,2.688
72368,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial6,2.602
72369,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial7,2.692
72370,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial8,2.531
72371,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial9,2.587
72372,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial10,2.6
72373,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial11,2.768
72374,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial12,2.6
72375,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial13,2.58
72376,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial14,2.611
72377,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial15,2.699
72378,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial16,2.598
72379,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial17,2.716
72380,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial18,2.524
72381,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial19,2.595
72382,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial20,2.596
72383,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial21,2.67
72384,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial22,2.692
72385,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial23,2.532
72386,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial24,2.587
72387,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial25,2.617
72388,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial26,2.613
72389,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial27,2.591
72390,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial28,2.549
72391,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial29,2.564
72392,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial30,2.598
72393,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial31,2.627
72394,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial32,2.724
72395,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial33,2.497
72396,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial34,2.629
72397,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial35,2.623
72398,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial36,2.582
72399,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial37,2.615
72400,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial38,2.491
72401,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial39,2.657
72402,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial40,2.667
72403,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial41,2.613
72404,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial42,2.655
72405,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial43,2.524
72406,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial44,2.58
72407,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial45,2.613
72408,JSH_Cath_CONTROL,CONTROL,Block3,FIXED,CATHOD,Run27,Trial46,2.699
