,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
122117,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial1,2.876
122118,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial2,2.582
122119,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial3,2.731
122120,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial4,2.724
122121,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial5,2.556
122122,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial6,2.609
122123,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial7,2.505
122124,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial8,2.695
122125,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial9,2.575
122126,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial10,2.532
122127,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial11,2.621
122128,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial12,2.564
122129,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial13,2.497
122130,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial14,2.645
122131,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial15,2.415
122132,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial16,2.728
122133,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial17,2.647
122134,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial18,2.642
122135,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial19,2.635
122136,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial20,2.577
122137,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial21,2.659
122138,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial22,2.508
122139,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial23,2.547
122140,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial24,2.759
122141,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial25,2.508
122142,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial26,2.604
122143,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial27,2.5
122144,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial28,2.58
122145,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial29,2.627
122146,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial30,2.571
122147,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial31,2.651
122148,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial32,2.519
122149,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial33,2.645
122150,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial34,2.606
122151,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial35,2.544
122152,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial36,2.615
122153,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial37,2.575
122154,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial38,2.511
122155,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial39,2.713
122156,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial40,2.521
122157,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial41,2.661
122158,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial42,2.571
122159,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial43,2.526
122160,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial44,2.694
122161,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial45,2.534
122162,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial46,2.639
122163,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial47,2.563
122164,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial48,2.5
122165,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial49,2.792
122166,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial50,2.564
122167,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial51,2.598
122168,JSH_Sham_CONTROL,CONTROL,Block3,FIXED,SHAM,Run27,Trial52,2.537
