,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
165961,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial1,2.769
165962,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial2,2.711
165963,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial3,2.674
165964,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial4,2.587
165965,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial5,2.48
165966,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial6,2.346
165967,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial7,2.526
165968,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial8,2.617
165969,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial9,2.78
165970,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial10,2.456
165971,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial11,2.502
165972,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial12,2.561
165973,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial13,2.474
165974,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial14,2.578
165975,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial15,2.418
165976,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial16,2.182
165977,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial17,2.524
165978,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial18,2.732
165979,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial19,2.587
165980,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial20,2.524
165981,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial21,2.542
165982,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial22,2.497
165983,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial23,2.718
165984,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial24,2.547
165985,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial25,2.431
165986,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial26,2.283
165987,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial27,2.532
165988,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial28,2.529
165989,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial29,2.635
165990,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial30,2.497
165991,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial31,2.338
165992,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial32,2.521
165993,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial33,2.559
165994,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial34,2.516
165995,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial35,2.494
165996,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial36,2.176
165997,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial37,2.719
165998,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial38,2.511
165999,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial39,2.587
166000,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial40,2.771
166001,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial41,2.549
166002,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial42,2.483
166003,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial43,2.547
166004,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial44,2.615
166005,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial45,2.537
166006,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial46,2.26
166007,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial47,2.676
166008,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial48,2.655
166009,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial49,2.634
166010,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial50,2.833
166011,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial51,2.575
166012,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial52,2.573
166013,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial53,2.711
166014,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial54,2.559
166015,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial55,2.494
166016,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial56,2.301
166017,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial57,2.676
166018,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial58,2.809
166019,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial59,2.672
166020,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial60,2.544
166021,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial61,2.521
166022,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial62,2.578
166023,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial63,2.729
166024,JSH_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run32,Trial64,2.564
