,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
25461,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial1,2.668
25462,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial2,2.629
25463,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial3,2.641
25464,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial4,2.584
25465,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial5,2.598
25466,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial6,2.778
25467,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial7,2.678
25468,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial8,2.606
25469,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial9,2.505
25470,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial10,2.566
25471,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial11,2.58
25472,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial12,2.674
25473,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial13,2.587
25474,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial14,2.617
25475,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial15,2.519
25476,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial16,2.916
25477,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial17,2.67
25478,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial18,2.615
25479,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial19,2.556
25480,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial20,2.609
25481,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial21,2.817
25482,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial22,2.568
25483,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial23,2.566
25484,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial24,2.561
25485,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial25,2.578
25486,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial26,2.701
25487,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial27,2.694
25488,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial28,2.687
25489,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial29,2.544
25490,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial30,2.825
25491,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial31,3.048
25492,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial32,2.678
25493,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial33,3.098
25494,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial34,2.659
25495,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial35,2.587
25496,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial36,2.617
25497,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial37,2.645
25498,LOW_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run9,Trial38,2.914
