,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
73975,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial1,3.059
73976,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial2,2.537
73977,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial3,2.657
73978,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial4,2.435
73979,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial5,2.283
73980,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial6,2.798
73981,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial7,2.301
73982,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial8,2.598
73983,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial9,2.494
73984,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial10,2.444
73985,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial11,2.225
73986,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial12,2.146
73987,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial13,2.438
73988,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial14,2.326
73989,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial15,2.554
73990,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial16,2.292
73991,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial17,2.301
73992,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial18,2.373
73993,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial19,2.241
73994,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial20,2.354
73995,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial21,2.297
73996,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial22,2.269
73997,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial23,2.377
73998,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial24,2.283
73999,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial25,2.589
74000,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial26,2.35
74001,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial27,2.358
74002,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial28,2.468
74003,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial29,2.33
74004,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial30,2.305
74005,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial31,2.401
74006,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial32,2.377
74007,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial33,2.283
74008,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial34,2.292
74009,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial35,2.365
74010,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial36,2.342
74011,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial37,2.199
74012,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial38,2.326
74013,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial39,2.265
74014,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial40,2.274
74015,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial41,2.283
74016,LOW_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run17,Trial42,2.326
