,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
123508,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial1,2.769
123509,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial2,2.6
123510,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial3,2.474
123511,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial4,2.873
123512,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial5,2.611
123513,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial6,2.655
123514,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial7,2.757
123515,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial8,3.016
123516,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial9,2.799
123517,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial10,3.152
123518,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial11,2.633
123519,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial12,2.766
123520,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial13,2.732
123521,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial14,2.653
123522,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial15,2.663
123523,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial16,2.625
123524,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial17,2.952
123525,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial18,2.655
123526,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial19,2.737
123527,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial20,2.964
123528,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial21,2.602
123529,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial22,2.606
123530,LOW_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run24,Trial23,2.584
