,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
166597,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial1,2.777
166598,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial2,2.595
166599,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial3,2.513
166600,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial4,2.869
166601,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial5,2.462
166602,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial6,2.75
166603,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial7,2.575
166604,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial8,2.641
166605,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial9,2.547
166606,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial10,2.401
166607,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial11,2.582
166608,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial12,2.477
166609,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial13,2.425
166610,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial14,2.5
166611,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial15,2.521
166612,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial16,2.369
166613,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial17,2.692
166614,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial18,2.292
166615,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial19,2.516
166616,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial20,2.366
166617,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial21,2.497
166618,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial22,2.578
166619,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial23,2.468
166620,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial24,2.672
166621,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial25,2.204
166622,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial26,2.551
166623,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial27,2.462
166624,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial28,2.621
166625,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial29,2.6
166626,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial30,2.27
166627,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial31,2.48
166628,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial32,2.6
166629,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial33,2.398
166630,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial34,2.732
166631,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial35,2.21
166632,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial36,2.394
166633,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial37,2.425
166634,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial38,2.398
166635,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial39,2.542
166636,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial40,2.14
166637,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial41,2.408
166638,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial42,2.438
166639,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial43,2.486
166640,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial44,2.462
166641,LOW_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run7,Trial45,2.354
