,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
27249,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial1,2.48
27250,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial2,2.236
27251,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial3,2.288
27252,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial4,2.391
27253,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial5,2.447
27254,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial6,2.447
27255,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial7,2.338
27256,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial8,2.401
27257,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial9,2.405
27258,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial10,2.866
27259,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial11,2.48
27260,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial12,2.477
27261,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial13,2.31
27262,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial14,2.459
27263,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial15,2.459
27264,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial16,2.435
27265,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial17,2.748
27266,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial18,2.33
27267,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial19,2.559
27268,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial20,2.674
27269,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial21,2.602
27270,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial22,2.521
27271,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial23,2.45
27272,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial24,2.5
27273,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial25,2.369
27274,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial26,2.521
27275,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial27,2.093
27276,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial28,2.697
27277,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial29,2.474
27278,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial30,2.704
27279,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial31,2.462
27280,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial32,2.21
27281,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial33,2.134
27282,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial34,2.405
27283,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial35,2.431
27284,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial36,2.483
27285,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial37,2.435
27286,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial38,2.619
27287,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial39,2.369
27288,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial40,2.5
27289,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial41,2.342
27290,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial42,2.996
27291,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial43,2.67
27292,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial44,2.719
27293,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial45,2.529
27294,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial46,2.483
27295,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial47,2.283
27296,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial48,2.739
27297,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial49,2.942
27298,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial50,2.589
27299,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial51,2.635
27300,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial52,2.676
27301,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial53,2.67
27302,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial54,2.865
27303,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial55,2.596
27304,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial56,2.627
27305,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial57,2.829
27306,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial58,2.653
27307,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial59,2.631
27308,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial60,2.422
27309,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial61,2.537
27310,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial62,2.444
27311,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial63,2.494
27312,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial64,2.627
27313,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial65,2.412
27314,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial66,2.511
27315,MAM_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run12,Trial67,2.913
