,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
75693,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial1,2.825
75694,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial2,2.692
75695,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial3,2.672
75696,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial4,2.617
75697,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial5,2.613
75698,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial6,2.726
75699,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial7,2.598
75700,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial8,2.754
75701,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial9,2.58
75702,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial10,2.744
75703,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial11,2.771
75704,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial12,2.589
75705,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial13,2.681
75706,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial14,2.754
75707,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial15,2.771
75708,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial16,2.724
75709,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial17,2.89
75710,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial18,2.657
75711,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial19,2.694
75712,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial20,2.906
75713,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial21,2.829
75714,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial22,2.639
75715,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial23,2.708
75716,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial24,2.641
75717,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial25,2.667
75718,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial26,2.629
75719,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial27,2.739
75720,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial28,2.731
75721,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial29,2.667
75722,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial30,2.559
75723,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial31,2.716
75724,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial32,2.747
75725,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial33,2.763
75726,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial34,2.778
75727,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial35,2.745
75728,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial36,2.75
75729,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial37,2.941
75730,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial38,2.885
75731,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial39,2.943
75732,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial40,2.699
75733,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial41,2.678
75734,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial42,2.728
75735,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial43,2.706
75736,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial44,2.839
75737,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial45,2.623
75738,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial46,2.708
75739,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial47,2.657
75740,MAM_Cath_CONTROL,CONTROL,Block1,RANDOM,CATHOD,Run1,Trial48,2.736
