,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
125455,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial1,2.709
125456,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial2,2.516
125457,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial3,2.301
125458,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial4,2.398
125459,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial5,2.236
125460,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial6,2.435
125461,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial7,2.057
125462,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial8,2.334
125463,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial9,2.373
125464,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial10,2.241
125465,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial11,2.486
125466,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial12,1.991
125467,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial13,2.398
125468,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial14,2.428
125469,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial15,2.146
125470,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial16,2.486
125471,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial17,1.699
125472,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial18,2.477
125473,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial19,2.398
125474,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial20,2.236
125475,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial21,2.486
125476,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial22,2.497
125477,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial23,2.497
125478,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial24,2.305
125479,MAM_Sham_CONTROL,CONTROL,Block2,FIXED,SHAM,Run20,Trial25,2.633
