,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
170682,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial1,2.246
170683,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial2,2.736
170684,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial3,2.438
170685,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial4,2.251
170686,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial5,2.288
170687,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial6,1.934
170688,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial7,2.405
170689,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial8,2.283
170690,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial9,2.158
170691,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial10,2.38
170692,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial11,2.354
170693,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial12,2.158
170694,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial13,1.733
170695,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial14,2.1
170696,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial15,2.418
170697,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial16,2.288
170698,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial17,2.459
170699,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial18,2.526
170700,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial19,2.734
170701,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial20,2.065
170702,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial21,2.453
170703,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial22,2.373
170704,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial23,1.973
170705,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial24,2.26
170706,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial25,1.763
170707,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial26,2.441
170708,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial27,2.358
170709,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial28,2.25
170710,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial29,2.079
170711,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial30,2.042
170712,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial31,2.418
170713,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial32,2.182
170714,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial33,2.521
170715,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial34,2.31
170716,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial35,2.584
170717,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial36,2.362
170718,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial37,2.079
170719,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial38,2.241
170720,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial39,2.465
170721,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial40,2.377
170722,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial41,1.982
170723,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial42,2.225
170724,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial43,2.377
170725,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial44,2.627
170726,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial45,2.0
170727,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial46,2.373
170728,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial47,2.405
170729,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial48,2.158
170730,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial49,2.127
170731,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial50,2.513
170732,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial51,2.639
170733,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial52,2.305
170734,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial53,2.041
170735,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial54,2.292
170736,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial55,2.422
170737,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial56,2.444
170738,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial57,2.33
170739,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial58,2.269
170740,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial59,2.456
170741,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial60,2.447
170742,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial61,2.14
170743,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial62,2.318
170744,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial63,2.384
170745,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial64,2.441
170746,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial65,2.331
170747,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial66,2.086
170748,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial67,2.245
170749,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial68,2.897
170750,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial69,2.724
170751,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial70,2.701
170752,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial71,2.241
170753,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial72,2.486
170754,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial73,2.508
170755,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial74,2.373
170756,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial75,2.524
170757,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial76,2.093
170758,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial77,2.25
170759,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial78,2.251
170760,MAM_Vertex_CONTROL,CONTROL,Block3,FIXED,VERTEX,Run29,Trial79,1.857
