,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
77287,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial1,2.93449340127837
77288,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial2,2.67212557797542
77289,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial3,2.6170003411209
77290,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial4,2.69024039353112
77291,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial5,1.91365493508662
77292,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial6,3.10516601908107
77293,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial7,2.79799421994691
77294,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial8,2.84137824358578
77295,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial9,2.68665414109546
77296,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial10,2.81557110768509
77297,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial11,2.80618675978215
77298,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial12,2.62114511119604
77299,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial13,2.770874093851
77300,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial14,2.84879854952832
77301,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial15,2.71099691491622
77302,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial16,2.77525354649927
77303,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial17,2.64345267648619
77304,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial18,2.76192783842053
77305,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial19,2.72917289212618
77306,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial20,2.75888919348692
77307,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial21,2.66832999534539
77308,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial22,2.78103693862113
77309,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial23,2.77082992831043
77310,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial24,2.8500393917493
77311,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial25,2.62114511119604
77312,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial26,2.6646795751823
77313,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial27,2.82212883411758
77314,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial28,3.05844120931328
77315,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial29,2.715969935082
77316,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial30,2.770874093851
77317,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial31,2.81823909385352
77318,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial32,2.78675142214556
77319,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial33,2.7160200469475
77320,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial34,2.69374453134028
77321,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial35,2.84134069651239
77322,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial36,2.70071236834335
77323,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial37,2.75888919348692
77324,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial38,2.71269178238708
77325,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial39,2.64544192023853
77326,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial40,2.63952633097146
77327,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial41,2.70757869159253
77328,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial42,2.65703672052018
77329,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial43,2.60208170550921
77330,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial44,2.61494991847624
77331,MMD_Cath_PATIENT,PATIENT,Block2,RANDOM,CATHOD,Run22,Trial45,2.64146419499178
