,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
29645,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial1,2.814
29646,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial2,2.771
29647,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial3,2.621
29648,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial4,2.679
29649,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial5,2.81
29650,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial6,2.674
29651,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial7,2.829
29652,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial8,2.621
29653,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial9,2.721
29654,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial10,2.726
29655,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial11,2.69
29656,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial12,2.683
29657,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial13,2.787
29658,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial14,2.753
29659,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial15,2.706
29660,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial16,3.164
29661,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial17,2.708
29662,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial18,2.683
29663,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial19,2.692
29664,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial20,2.775
29665,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial21,2.629
29666,MTG_Anod_CONTROL,CONTROL,Block2,FIXED,ANOD,Run18,Trial22,2.685
