,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
78922,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial1,2.701
78923,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial2,2.647
78924,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial3,2.657
78925,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial4,2.566
78926,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial5,2.665
78927,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial6,2.591
78928,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial7,2.587
78929,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial8,2.584
78930,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial9,2.808
78931,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial10,2.714
78932,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial11,2.647
78933,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial12,2.799
78934,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial13,2.813
78935,MTG_Cath_CONTROL,CONTROL,Block2,FIXED,CATHOD,Run24,Trial14,2.719
