,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
127912,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial1,2.441
127913,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial2,2.641
127914,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial3,2.709
127915,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial4,2.765
127916,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial5,2.678
127917,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial6,2.739
127918,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial7,2.78
127919,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial8,2.708
127920,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial9,2.554
127921,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial10,2.711
127922,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial11,2.661
127923,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial12,2.699
127924,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial13,2.598
127925,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial14,2.659
127926,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial15,2.895
127927,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial16,2.633
127928,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial17,2.643
127929,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial18,2.75
127930,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial19,2.643
127931,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial20,2.653
127932,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial21,2.769
127933,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial22,2.736
127934,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial23,2.74
127935,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial24,2.845
127936,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial25,2.561
127937,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial26,2.731
127938,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial27,2.723
127939,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial28,2.641
127940,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial29,2.547
127941,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial30,2.665
127942,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial31,2.729
127943,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial32,2.649
127944,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial33,2.575
127945,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial34,2.726
127946,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial35,2.631
127947,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial36,2.821
127948,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial37,2.766
127949,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial38,2.663
127950,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial39,2.851
127951,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial40,2.713
127952,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial41,2.803
127953,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial42,2.617
127954,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial43,2.863
127955,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial44,2.916
127956,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial45,2.763
127957,MTG_Sham_CONTROL,CONTROL,Block3,RANDOM,SHAM,Run34,Trial46,2.964
