,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
171941,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial1,2.841
171942,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial2,2.575
171943,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial3,2.606
171944,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial4,2.619
171945,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial5,2.578
171946,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial6,2.611
171947,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial7,2.604
171948,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial8,2.771
171949,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial9,2.711
171950,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial10,2.629
171951,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial11,2.67
171952,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial12,2.663
171953,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial13,2.687
171954,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial14,2.989
171955,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial15,2.713
171956,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial16,3.094
171957,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial17,2.641
171958,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial18,2.435
171959,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial19,2.544
171960,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial20,2.829
171961,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial21,2.798
171962,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial22,2.74
171963,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial23,3.078
171964,MTG_Vertex_CONTROL,CONTROL,Block2,FIXED,VERTEX,Run18,Trial24,2.577
