,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
30771,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial1,2.846
30772,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial2,2.405
30773,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial3,2.584
30774,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial4,2.521
30775,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial5,2.338
30776,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial6,2.617
30777,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial7,2.447
30778,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial8,2.45
30779,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial9,2.497
30780,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial10,2.369
30781,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial11,2.373
30782,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial12,2.377
30783,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial13,2.408
30784,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial14,2.486
30785,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial15,2.412
30786,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial16,2.384
30787,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial17,2.465
30788,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial18,2.358
30789,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial19,2.575
30790,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial20,2.387
30791,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial21,2.418
30792,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial22,2.394
30793,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial23,2.398
30794,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial24,2.521
30795,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial25,2.369
30796,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial26,2.342
30797,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial27,2.408
30798,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial28,2.318
30799,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial29,2.441
30800,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial30,2.391
30801,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial31,2.394
30802,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial32,2.338
30803,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial33,2.31
30804,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial34,2.38
30805,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial35,2.288
30806,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial36,2.362
30807,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial37,2.394
30808,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial38,2.369
30809,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial39,2.453
30810,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial40,2.346
30811,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial41,2.35
30812,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial42,2.354
30813,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial43,2.33
30814,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial44,2.422
30815,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial45,2.369
30816,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial46,2.401
30817,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial47,2.377
30818,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial48,2.38
30819,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial49,2.412
30820,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial50,2.358
30821,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial51,2.391
30822,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial52,2.394
30823,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial53,2.398
30824,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial54,2.428
30825,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial55,2.314
30826,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial56,2.408
30827,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial57,2.354
30828,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial58,2.326
30829,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial59,2.334
30830,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial60,2.27
30831,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial61,2.318
30832,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial62,2.354
30833,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial63,2.33
30834,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial64,2.366
30835,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial65,2.305
30836,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial66,2.346
30837,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial67,2.354
30838,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial68,2.292
30839,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial69,2.366
30840,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial70,2.338
30841,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial71,2.502
30842,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial72,2.342
30843,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial73,2.35
30844,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial74,2.322
30845,RID_Anod_CONTROL,CONTROL,Block1,FIXED,ANOD,Run6,Trial75,2.297
