,SUBJECT,GROUP,BLOCK,TASK,CONDITION,RUN,TRIAL,LOG_RT
172846,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial1,2.942
172847,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial2,2.462
172848,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial3,2.412
172849,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial4,2.415
172850,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial5,2.292
172851,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial6,2.69
172852,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial7,2.486
172853,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial8,2.35
172854,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial9,2.358
172855,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial10,2.297
172856,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial11,2.425
172857,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial12,2.369
172858,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial13,2.521
172859,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial14,2.425
172860,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial15,2.342
172861,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial16,2.649
172862,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial17,2.494
172863,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial18,2.422
172864,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial19,2.398
172865,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial20,2.274
172866,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial21,2.408
172867,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial22,2.38
172868,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial23,2.322
172869,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial24,2.513
172870,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial25,2.418
172871,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial26,2.491
172872,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial27,2.444
172873,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial28,2.418
172874,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial29,2.365
172875,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial30,2.305
172876,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial31,2.346
172877,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial32,2.547
172878,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial33,2.346
172879,RID_Vertex_CONTROL,CONTROL,Block1,FIXED,VERTEX,Run3,Trial34,2.384
